timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz,target
492654,0.1411,0.0,0.0,0.0,0.2739,-0.5911996483270676,-0.2647960296334051,0.8571993526374689,0.3184801679831356,1.0736536189105792,1.6976386766332117,HELLO
492674,0.1426,0.0,0.0,0.0,0.2978,-0.19038439638854943,-0.1760224891999895,0.886115576174013,0.3625363430902582,0.977742969002849,1.6976386766332117,HELLO
492694,0.1399,0.0,0.0,0.0,0.3002,0.288648594300357,-0.13419649418809151,0.7470800356078917,0.2598490176526042,1.0426237027639602,1.6976386766332117,HELLO
492714,0.138,0.0,0.0,0.0,0.2763,0.6465048809148279,-0.1760224891999895,0.6730069698361972,0.16411793038975864,1.1733254707754754,1.6976386766332117,HELLO
492734,0.1519,0.0,0.0,0.0,0.299,1.4067975124989132,0.6903731217607522,0.6171550860190375,0.13662422712741903,1.3952363862482633,1.6976386766332117,HELLO
492754,0.1461,0.0,0.0,0.0,0.2691,1.4067975124989132,0.6707405118572076,0.5925961016455347,0.12072425415642733,1.5442740138009619,1.6976386766332117,HELLO
492774,0.1457,0.0,0.0,0.0,0.2852,1.4067975124989132,0.6400112093994872,0.46584005326616473,-0.015419264407688572,1.3510422632515637,1.6976386766332117,HELLO
492794,0.15,0.0,0.0,0.0,0.2715,1.4067975124989132,0.9140141563141652,0.5779399335516698,-0.11115035167053394,0.530159936100107,1.6976386766332117,HELLO
492814,0.1426,0.0,0.0,0.0,0.2074,1.4067975124989132,0.9993733298078343,0.6100250582976978,0.09687429469993994,-0.6931710004681007,1.431221347286856,HELLO
492834,0.1414,0.0,0.0,0.0,0.2218,1.4067975124989132,0.8969423216154313,0.5696215678767738,0.13828047431189716,-1.0274478244112197,1.0424762590450818,HELLO
492854,0.1407,0.0,0.0,0.0,0.2637,1.4067975124989132,0.5298978755926539,0.6936048276978448,-0.08166915178682023,-0.48395414160074773,0.5834998698741323,HELLO
492874,0.136,0.0,0.0,0.0,0.1631,1.4067975124989132,0.5051437152794898,0.8564071273350979,-0.25093761404050186,-0.04295321212304643,0.17035517473677617,HELLO
492894,0.1391,0.0,0.0,0.0,0.2469,1.4067975124989132,0.4402707434243017,0.9197851515247829,-0.2068814389333793,0.11877847203508704,-0.17354739272392838,HELLO
492914,0.1364,0.0,0.0,0.0,0.281,1.4067975124989132,0.3634474872799995,0.9118628985010723,-0.10452536293262076,0.15121883891564297,-0.6833013421910894,HELLO
492934,0.1337,0.0,0.0,0.0,0.202,1.4067975124989132,0.19699709896734413,0.9724681341324584,0.01174318941775541,-0.26439397735118847,-1.223719662486482,HELLO
492954,0.1383,0.0,0.0,0.0,0.2571,1.4067975124989132,-0.033472669465561704,0.9419674599911728,-0.006806779048401286,-0.11065484735203242,-1.4565051012470354,HELLO
492974,0.1387,0.0,0.0,0.0,0.2757,1.4067975124989132,0.06554397178709397,0.9542469521779242,-0.16646900763210895,0.27251760203424336,-1.5996054984454493,HELLO
492994,0.136,0.0,0.0,0.0,0.2559,1.4067975124989132,0.15602469569038369,1.0065338221344142,-0.19561895807892685,0.18648010726407355,-1.5996054984454493,HELLO
493014,0.1368,0.0,0.0,0.0,0.2206,1.4067975124989132,0.22345844275038146,0.9887087528310651,-0.19098146596238777,-0.17271467964526965,-1.5996054984454493,HELLO
493034,0.1383,0.0,0.0,0.0,0.2433,1.4067975124989132,0.13297771884709272,0.9257268412925657,-0.16646900763210895,-0.4317674644450709,-1.5996054984454493,HELLO
493054,0.1352,0.0,0.0,0.0,0.1793,1.2823786223622853,0.05700805443772705,0.8837389002668996,-0.23172514670055375,-0.3828718390019142,-1.5996054984454493,HELLO
493074,0.1333,0.0,0.0,0.0,0.1661,0.9354647137077133,-0.05225168763416968,0.8425431845436046,-0.3426937080605994,-0.40637935123420105,-1.5996054984454493,HELLO
493094,0.1321,0.0,0.0,0.0,0.2337,0.5569394909467668,0.10480919159418217,0.8350170441710795,-0.3416999597499125,-0.6470962764928185,-1.5996054984454493,HELLO
493114,0.1318,0.0,0.0,0.0,0.1978,0.1873302798568492,0.10566278332911877,0.9209734894783393,-0.21284392879750125,-1.0345000780809057,-1.5996054984454493,HELLO
493134,0.1283,0.0,0.0,0.0,0.2547,-0.47529149660369446,-0.13419649418809151,0.8817583370109717,-0.12340658083567325,-1.1943511612604565,-1.5996054984454493,HELLO
493154,0.131,0.0,0.0,0.0,0.1721,-0.8842122136976933,-0.19736228257340632,0.8263025658449978,-0.13036281901048205,-1.0754031493650849,-1.5996054984454493,HELLO
493174,0.1318,0.0,0.0,0.0,0.2349,-1.0690168192426521,-0.3783237303799848,0.865517718312365,-0.1383128054959779,-0.8055369089384317,-1.5996054984454493,HELLO
493194,0.1352,0.0,0.0,0.0,0.2062,-1.288674924956178,-0.5874537054394747,0.8841350129180852,-0.1277128235153169,-0.6367529711106121,-1.5996054984454493,HELLO
493214,0.1376,0.0,0.0,0.0,0.1942,-1.489285187554324,-0.7274427499690919,0.9102784478963304,-0.11247534941811661,-0.5290885650867385,-1.5996054984454493,HELLO
493234,0.1407,0.0,0.0,0.0,0.2158,-1.6404521127040381,-0.8716997531733928,0.9506819383172544,-0.07040667093236778,-0.5375512694903616,-1.3199991923987788,HELLO
493254,0.1442,0.0,0.0,0.0,0.2218,-1.8293094508267371,-1.049246834040224,0.9205773768271539,-0.04622546203898477,-0.5897379466460384,-1.0647924932476904,HELLO
